vendor,rule_id,src,dst,service,action,reason,severity
sophos,10007,Private-Range-A_10.0.0.0/8 Private-Range-B_172.16.0.0/12 Private-Range-C_192.168.0.0/16,REF_NetDnsWanactivat REF_NetDnsWanadlwind REF_NetDnsWanclientw REF_NetDnsWancrlmicr REF_NetDnsWandownloa REF_NetDnsWandownloa3 REF_NetDnsWandsdownl REF_NetDnsWanemdlwsm REF_NetDnsWanfe2crup REF_NetDnsWanfe2crup2 REF_NetDnsWanfe2upda REF_NetDnsWanfe2wsmi REF_NetDnsWanfsmicro REF_NetDnsWangomicro REF_NetDnsWanlocationnext REF_NetDnsWanmicroso REF_NetDnsWanmspanab REF_NetDnsWanntservi REF_NetDnsWanocspdig REF_NetDnsWansetting REF_NetDnsWansg2pwns REF_NetDnsWansisnabl REF_NetDnsWanslsmicr REF_NetDnsWanslsupda REF_NetDnsWansmicros REF_NetDnsWanLocationdnext REF_NetDnsWanteststa REF_NetDnsWantsfetra REF_NetDnsWanupdatem REF_NetDnsWanwindows REF_NetDnsWanwindows2 REF_NetDnsWanwindows3 REF_NetDnsWanwwwmicr,HTTP HTTPS,accept,,
sophos,10008,Private-Range-A_10.0.0.0/8 Private-Range-B_172.16.0.0/12 Private-Range-C_192.168.0.0/16,Monitoring_172.16.0.121,TCP_10004 TCP_15000 ping,accept,,
sophos,10010,Direction-Location-LAN [Network] Direction-Location-Mgmt-ESX [Network],LAN_10.1.1.38,GRP_HTTP,accept,,
sophos,10011,Direction-Location-LAN [Network],Hosting-Access_192.168.150.253 Hosting-Access_192.168.150.254 GRP_BCCePermWebPrivate GRP_Hosting_Web location_DMZ_WEB SRA_EXT_192.168.8.30 SRA_EXT_192.168.8.40 SRA_INT_192.168.12.30 SRA_INT_192.168.12.40,GRP_HTTP,accept,,
sophos,10013,Direction-Location-LAN [Network],Internet IPv4 Internet IPv6,GRP_Remote-Support,accept,,
sophos,10017,Direction-Location-LAN [Network] Direction-Location-Mgmt-ESX [Network] Direction-Location-Voice [Network],LAN_10.1.1.98,HTTPS,accept,,
sophos,10020,Monitoring_172.16.0.100 Monitoring_172.16.0.50 Monitoring_172.16.0.70,all,SNMP ping,accept,,
sophos,10021,Direction-Location-Mgmt-ESX [Network],Monitoring_172.16.0.80 Monitoring_172.16.0.120,HTTP HTTPS UDP_6559,accept,,
sophos,10022,Direction-Location-LAN [Network] Direction-Location-Mgmt-ESX [Network],Monitoring_172.16.0.100,HTTP TCP_4505-4506,accept,,
sophos,10024,Direction-Location-LAN [Network],DMZ_WEB_192.168.11.200,GRP_HTTP\\S,accept,,
sophos,10027,Direction-Location-LAN [Network],Hosting-Access_192.168.150.254,GRP_8391,accept,,
sophos,10028,Direction-Location-LAN [Network],system_SDE-Portal system_locationtscxsp01.systemnet,HTTP HTTPS,accept,,
sophos,10029,Direction-Location-LAN [Network],system_10.80.118.0 system_Storefront715.systemnet,Citrix ICA HTTP HTTPS TCP_2598 UDP_16500-16509 UDP_2598,accept,,
sophos,10033,Monitoring_172.16.0.150,Direction-Location-Mgmt-ESX [Network],SSH,accept,,
sophos,10034,Direction-Location-Mgmt-ESX [Network],Monitoring_172.16.0.114,SNMP-Traps,accept,,
sophos,10037,Direction-Location-Mgmt-ESX [Network],location-Monitoring-Large_GraylogRP01.hosting.client2.com.au,TCP_5556,accept,,
sophos,10038,Direction-Location-LAN [Network],Exchange-location_EXDAG01location.client2.com.au Exchange-location_EXDAG02location.client2.com.au,HTTP HTTPS,accept,,
sophos,10039,Imaging_SCCM01.client2.com.au Imaging_SW-SCCM-DP,Direction-Location-LAN [Network],GRP_SCCM-Server-Ports TCP_8530 TCP_8531,accept,,
sophos,10040,Direction-Location-LAN [Network],Citrix_192.168.120.52,HTTP HTTPS,accept,,
sophos,10041,Direction-Location-LAN [Network],GRP_Citrix-VDAs,TCP_1494 TCP_2598,accept,,
sophos,10042,LAN_LocationARRA-3952.client2.com.au LAN_LocationARRA-3962.client2.com.au location_LAN REF_NetDnsLanLocationarra33 Direction-Location-LAN [Network],DMZ_2_192.168.2.122 DMZ_2_192.168.2.123,HTTP TCP_3007-3008 TCP_30175 TCP_8006-8007,accept,,
sophos,10046,LAN_Locationarra-4110.client2.com.au REF_NetDnsLanLocationarra36 REF_NetDnsLanLocationarra4 REF_NetDnsLanLocationarra42 REF_NetDnsLanLocationarra43 REF_NetDnsLanLocationarra45 REF_NetDnsLanLocationarra46 REF_NetDnsLanLocationarra47,REF_NetDnsWanwemsclo,TCP_81,accept,,
